From,To
Pancake (Manuel Scala) (Manuel Scala),Newbie (Leandro Marcos)
Pancake (Manuel Scala) (Manuel Scala),VicaL (Kim Sun-mook (김선묵))
Plugo (Joaquín Pérez),Alive (Noh Jin-wook (노진욱))
Plugo (Joaquín Pérez),Newbie (Leandro Marcos)
Plugo (Joaquín Pérez),VicaL (Kim Sun-mook (김선묵))
Straight (Roberto Guallichico),Soren (Carlos Ibarra) (Carlos Ibarra)
SolidSnake (Diego Vallejo),Soren (Carlos Ibarra) (Carlos Ibarra)
Cotopaco (Sergio Silva),Soren (Carlos Ibarra) (Carlos Ibarra)
WhiteLotus (Matías Musso),Soren (Carlos Ibarra) (Carlos Ibarra)
Genthix (Mariano Polonsky),Soren (Carlos Ibarra) (Carlos Ibarra)
Acce (Emmanuel Juárez),Renyu (Renato Gallegos)
Josedeodo (Brandon Joel Villegas),Renyu (Renato Gallegos)
Leza (Francisco Jara),Renyu (Renato Gallegos)
Renyu (Renato Gallegos),Shadow (Facundo Cuello) (Facundo Cuello)
Renyu (Renato Gallegos),Skin (Eduardo Saldaña)
IceBox (Bastián Almonacid),koughi (Victor Yever)
IceBox (Bastián Almonacid),Feitan (Felipe Marín)
koughi (Victor Yever),cody (Sebastián Quispe)
koughi (Victor Yever),KRESHTDOO (Nicolás Díaz)
koughi (Victor Yever),Feitan (Felipe Marín)
koughi (Victor Yever),MisterG (Lautaro Ulla)
cody (Sebastián Quispe),Feitan (Felipe Marín)
KRESHTDOO (Nicolás Díaz),Feitan (Felipe Marín)
Feitan (Felipe Marín),MisterG (Lautaro Ulla)
Zerito (Tomas Colangelo),Xypherz (Santiago de León)
Zerito (Tomas Colangelo),Zeicro (Juan Fierro)
Zerito (Tomas Colangelo),Onur (Rodrigo Dalmagro)
Zerito (Tomas Colangelo),Benoty (Martín Bourre)
Xypherz (Santiago de León),Emp (Benjamín Ramírez)
Xypherz (Santiago de León),Nobody (Nicolás Ale) (Nicolás Ale)
Xypherz (Santiago de León),Baula (Alejandro Serrano)
Xypherz (Santiago de León),Onur (Rodrigo Dalmagro)
Xypherz (Santiago de León),Benoty (Martín Bourre)
Emp (Benjamín Ramírez),Zeicro (Juan Fierro)
Emp (Benjamín Ramírez),Onur (Rodrigo Dalmagro)
Emp (Benjamín Ramírez),Benoty (Martín Bourre)
Zeicro (Juan Fierro),Baula (Alejandro Serrano)
Zeicro (Juan Fierro),Onur (Rodrigo Dalmagro)
Nobody (Nicolás Ale) (Nicolás Ale),Onur (Rodrigo Dalmagro)
Nobody (Nicolás Ale) (Nicolás Ale),Benoty (Martín Bourre)
Baula (Alejandro Serrano),Onur (Rodrigo Dalmagro)
Baula (Alejandro Serrano),Benoty (Martín Bourre)
Jauny (Jauny Vargas),Kindless (Benjamín Fuenzalida)
Jauny (Jauny Vargas),Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez)
Jauny (Jauny Vargas),MadBlade (Steven Araya)
Jauny (Jauny Vargas),BetaTwinz (Dario Betancourt)
QQ (Diego Apablaza),Kindless (Benjamín Fuenzalida)
QQ (Diego Apablaza),Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez)
QQ (Diego Apablaza),MadBlade (Steven Araya)
QQ (Diego Apablaza),BetaTwinz (Dario Betancourt)
TopLop (Nicolás Marinoni),Kindless (Benjamín Fuenzalida)
TopLop (Nicolás Marinoni),Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez)
TopLop (Nicolás Marinoni),MadBlade (Steven Araya)
TopLop (Nicolás Marinoni),BetaTwinz (Dario Betancourt)
Kindless (Benjamín Fuenzalida),MadBlade (Steven Araya)
Kindless (Benjamín Fuenzalida),Dye (Gerson Castaño)
Gavotto (Omar Gavotto),MadBlade (Steven Araya)
Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez),MadBlade (Steven Araya)
Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez),BetaTwinz (Dario Betancourt)
Kz (Nicolás Gutiérrez) (Nicolás Gutiérrez),Dye (Gerson Castaño)
MadBlade (Steven Araya),Dye (Gerson Castaño)
BetaTwinz (Dario Betancourt),Dye (Gerson Castaño)
Aquasonic (Tadeo Forestieri),Monsieur (Harvey Betancourt)
Aquasonic (Tadeo Forestieri),Unforgiven (Maximiliano Utrero) (Maximiliano Utrero)
